日期 出租车运行次数
2013-02-01 567076
2013-02-02 569777
2013-02-03 472623
2013-02-04 457093
2013-02-05 482637
2013-02-06 506443
2013-02-07 535105
2013-02-08 432643
2013-02-09 392006
2013-02-10 459612
2013-02-11 458947
2013-02-12 503963
2013-02-13 524250
2013-02-14 527476
2013-02-15 537129
2013-02-16 542291
2013-02-17 506209
2013-02-18 407104
2013-02-19 456383
2013-02-20 512507
2013-02-21 538079
2013-02-22 558738
2013-02-23 584812
2013-02-24 474783
2013-02-25 451955
2013-02-26 496612
2013-02-27 509033
2013-02-28 524890
