日期 出租车运行次数
2013-01-01 412630
2013-01-02 393001
2013-01-03 441233
2013-01-04 478437
2013-01-05 473804
2013-01-06 403667
2013-01-07 407363
2013-01-08 441778
2013-01-09 457471
2013-01-10 487949
2013-01-11 521398
2013-01-12 507429
2013-01-13 442541
2013-01-14 443650
2013-01-15 496899
2013-01-16 500065
2013-01-17 512533
2013-01-18 543734
2013-01-19 510530
2013-01-20 459393
2013-01-21 384614
2013-01-22 496005
2013-01-23 520520
2013-01-24 533039
2013-01-25 537188
2013-01-26 557203
2013-01-27 470833
2013-01-28 450789
2013-01-29 477380
2013-01-30 482378
2013-01-31 531161
