乘车距离(km) 车次 
0-1 83376
1-2 3667752
2-3 4851325
3-4 2431787
4-5 1236116
5-6 676462
6-7 419942
7-8 267377
8-9 179571
9-10 164097
10-11 160561
11-12 132966
12-13 93094
13-14 56650
14-15 35087
15-16 27502
16-17 28342
17-18 46516
18-19 73470
19-20 55883
20-21 33148
21-22 21464
22-23 12985
23-24 6059
24-25 3144
25-26 1939
26-27 1372
27-28 1119
28-29 978
29-30 859
30-31 583
31-32 412
32-33 388
33-34 367
34-35 332
35-36 266
36-37 272
37-38 232
38-39 213
39-40 165
40-41 143
41-42 144
42-43 144
43-44 115
44-45 131
45-46 101
46-47 81
47-48 83
48-49 87
49-50 68
50-51 81
51-52 75
52-53 65
53-54 61
54-55 35
55-56 50
56-57 63
57-58 52
58-59 44
59-60 43
60-61 45
61-62 31
62-63 39
63-64 37
64-65 36
65-66 30
66-67 29
67-68 17
68-69 21
69-70 24
70-71 24
71-72 24
72-73 21
73-74 19
74-75 21
75-76 22
76-77 15
77-78 19
78-79 16
79-80 16
80-81 14
81-82 14
82-83 17
83-84 18
84-85 18
85-86 15
86-87 11
87-88 18
88-89 10
89-90 11
90-91 11
91-92 10
92-93 15
93-94 8
94-95 13
95-96 9
96-97 17
97-98 12
98-99 10
99-100 9
100-101 10
