乘车时间范围(分钟) 车次 
0-1 34185
1-2 118706
2-3 314440
3-4 637126
4-5 902924
5-6 1049939
6-7 1100806
7-8 1094854
8-9 1047022
9-10 977666
10-11 892686
11-12 805491
12-13 717697
13-14 636261
14-15 561582
15-16 492541
16-17 432498
17-18 377865
18-19 330542
19-20 287222
20-21 249325
21-22 215864
22-23 187249
23-24 162253
24-25 140204
25-26 122373
26-27 106105
27-28 92052
28-29 79330
29-30 69697
30-31 60539
31-32 52906
32-33 46208
33-34 40279
34-35 35595
35-36 30721
36-37 27507
37-38 24004
38-39 21409
39-40 18852
40-41 16881
41-42 15212
42-43 13785
43-44 12675
44-45 11508
45-46 10479
46-47 9542
47-48 8583
48-49 7883
49-50 7309
50-51 6550
51-52 6016
52-53 5422
53-54 4897
54-55 4542
55-56 4179
56-57 3599
57-58 3245
58-59 2953
59-60 2710
60-61 2398
61-62 2069
62-63 1909
63-64 1667
64-65 1422
65-66 1367
66-67 1162
67-68 1077
68-69 968
69-70 830
70-71 766
71-72 691
72-73 604
73-74 530
74-75 470
75-76 442
76-77 401
77-78 369
78-79 341
79-80 311
80-81 257
81-82 247
82-83 214
83-84 206
84-85 199
85-86 185
86-87 161
87-88 160
88-89 157
89-90 119
90-91 106
91-92 122
92-93 111
93-94 104
94-95 92
95-96 98
96-97 86
97-98 58
98-99 79
99-100 87
100-101 77
101-102 70
102-103 55
103-104 52
104-105 50
105-106 47
106-107 47
107-108 38
108-109 43
109-110 45
110-111 37
111-112 33
112-113 29
113-114 35
114-115 35
115-116 30
116-117 29
117-118 21
118-119 21
119-120 25
120-121 29
121-122 25
122-123 30
123-124 21
124-125 27
125-126 21
126-127 25
127-128 12
128-129 21
129-130 12
130-131 18
131-132 18
132-133 14
133-134 13
134-135 21
135-136 10
136-137 12
137-138 14
138-139 9
139-140 11
140-141 13
141-142 14
142-143 13
143-144 8
144-145 15
145-146 14
146-147 15
147-148 9
148-149 8
149-150 12
150-151 6
151-152 8
152-153 8
153-154 12
154-155 7
155-156 11
156-157 7
157-158 9
158-159 6
159-160 15
160-161 10
161-162 8
162-163 11
163-164 10
164-165 7
165-166 6
166-167 6
167-168 7
169-170 3
170-171 1
171-172 2
172-173 4
173-174 3
176-177 1
177-178 2
178-179 3
179-180 1
180-181 1
