乘车距离(km) 车次 
-1-0 73844
0-1 3486925
1-2 4573842
2-3 2308288
3-4 1181405
4-5 654356
5-6 404034
6-7 256739
7-8 171626
8-9 154487
9-10 149693
10-11 124321
11-12 86052
12-13 52006
13-14 32255
14-15 24843
15-16 25860
16-17 42542
17-18 65504
18-19 47309
19-20 27385
20-21 18287
21-22 11539
22-23 5201
23-24 2549
24-25 1592
25-26 1103
26-27 905
27-28 838
28-29 728
29-30 533
30-31 366
31-32 346
32-33 276
33-34 239
34-35 224
35-36 228
36-37 194
37-38 168
38-39 124
39-40 117
40-41 100
41-42 100
42-43 69
43-44 61
44-45 70
45-46 59
46-47 48
47-48 47
48-49 55
49-50 53
50-51 48
51-52 40
52-53 33
53-54 27
54-55 23
55-56 35
56-57 30
57-58 29
58-59 26
59-60 23
60-61 15
61-62 12
62-63 15
63-64 18
64-65 16
65-66 14
66-67 14
67-68 18
68-69 12
69-70 11
70-71 9
71-72 10
72-73 10
73-74 6
74-75 7
75-76 5
76-77 4
77-78 8
78-79 7
79-80 9
80-81 6
81-82 8
82-83 9
83-84 13
84-85 7
85-86 2
86-87 4
87-88 7
88-89 2
89-90 3
90-91 2
91-92 6
92-93 1
93-94 5
94-95 4
95-96 5
96-97 7
97-98 6
98-99 1
99-100 9
