乘车时间范围(分钟) 车次 
-1-0 31358
0-1 107248
1-2 287617
2-3 580118
3-4 819058
4-5 955271
5-6 1003417
6-7 1000432
7-8 962372
8-9 902453
9-10 831878
10-11 758185
11-12 681946
12-13 608691
13-14 541243
14-15 480400
15-16 425027
16-17 374868
17-18 329337
18-19 287370
19-20 253000
20-21 220436
21-22 192411
22-23 167321
23-24 146422
24-25 126884
25-26 110717
26-27 96342
27-28 84491
28-29 72819
29-30 64074
30-31 55018
31-32 48531
32-33 42575
33-34 36729
34-35 32432
35-36 28406
36-37 25123
37-38 22147
38-39 19724
39-40 17347
40-41 15406
41-42 14013
42-43 12397
43-44 11130
44-45 9908
45-46 9111
46-47 8194
47-48 7455
48-49 6792
49-50 6069
50-51 5529
51-52 5008
52-53 4613
53-54 4167
54-55 3727
55-56 3589
56-57 2922
57-58 2732
58-59 2506
59-60 2223
60-61 2098
61-62 1882
62-63 1643
63-64 1499
64-65 1313
65-66 1173
66-67 1083
67-68 979
68-69 882
69-70 805
70-71 720
71-72 650
72-73 614
73-74 537
74-75 462
75-76 403
76-77 405
77-78 379
78-79 271
79-80 272
80-81 252
81-82 215
82-83 189
83-84 203
84-85 175
85-86 162
86-87 145
87-88 145
88-89 130
89-90 106
90-91 114
91-92 83
92-93 74
93-94 68
94-95 69
95-96 63
96-97 55
97-98 44
98-99 46
99-100 50
100-101 44
101-102 44
102-103 34
103-104 39
104-105 37
105-106 33
106-107 28
107-108 34
108-109 30
109-110 34
110-111 25
111-112 31
112-113 22
113-114 20
114-115 26
115-116 18
116-117 17
117-118 27
118-119 15
119-120 19
120-121 13
121-122 25
122-123 16
123-124 4
124-125 15
125-126 17
126-127 12
127-128 12
128-129 16
129-130 10
130-131 13
131-132 13
132-133 11
133-134 7
134-135 9
135-136 7
136-137 6
137-138 10
138-139 17
139-140 10
140-141 10
141-142 10
142-143 5
143-144 5
144-145 6
145-146 5
146-147 10
147-148 9
148-149 11
149-150 4
150-151 6
151-152 8
152-153 7
153-154 4
154-155 4
155-156 6
156-157 3
157-158 3
158-159 5
159-160 4
160-161 5
161-162 5
162-163 3
163-164 5
164-165 5
165-166 5
166-167 2
167-168 2
169-170 1
170-171 1
171-172 2
173-174 2
175-176 1
176-177 1
177-178 1
178-179 1
179-180 2
